size_sq_ft,location_avg_price,price_per_sqft,localityName,propertyType,bedrooms,price
-0.43515462128809385,-0.7318658292387897,-0.374931103672907,149.0,0.0,2.0,20000
0.9617749198275997,-0.26540488389316136,-0.7326968315085359,131.0,1.0,2.0,28000
-0.08592223600917047,-0.5200669971050412,-0.28319630166377135,45.0,1.0,2.0,28000
-1.1336193918459405,-0.9745366558887434,0.0980764691866986,62.0,0.0,2.0,12500
-0.9590031992064789,-0.9745366558887434,-0.5039331689982539,62.0,2.0,2.0,10000
-0.9590031992064789,-0.9745366558887434,-0.32333027754276816,62.0,1.0,2.0,12000
-0.6097708139275555,-0.7318658292387897,-0.47383268708900633,149.0,1.0,2.0,15500
-0.8658745631320993,-0.7318658292387897,-0.371136925280985,149.0,1.0,2.0,13000
-0.8425924041135044,-0.20838018743801567,-0.5555339951283927,3.0,1.0,2.0,11000
-0.493360018834581,-0.5972778928976427,-0.6484154821626426,76.0,2.0,2.0,14000
-0.4002313827602015,-0.46876290475307364,-0.6544355785444921,123.0,1.0,3.0,15000
1.834855883024908,-0.46876290475307364,0.39908128827917494,123.0,1.0,3.0,100000
-0.493360018834581,-0.5200669971050412,-0.5400537472893511,45.0,1.0,2.0,16000
-0.72618160902053,0.7700874071256443,0.08302622823207474,151.0,2.0,2.0,22000
0.3215155468162401,-0.5137542900545721,-0.4189435730192019,55.0,0.0,3.0,31000
-0.08592223600917047,0.7700874071256443,0.39908128827917494,151.0,1.0,3.0,45000
-0.6097708139275555,-0.46876290475307364,-0.44373220517975864,123.0,1.0,2.0,16000
-0.9590031992064789,-0.9745366558887434,-0.5039331689982539,62.0,2.0,2.0,10000
-0.9590031992064789,-0.9745366558887434,-0.32333027754276816,62.0,1.0,2.0,12000
0.4379263419092146,-0.26540488389316136,-0.44373220517975864,131.0,1.0,2.0,32000
-0.493360018834581,-0.5200669971050412,-0.6484154821626426,45.0,1.0,3.0,14000
-0.26053842864863214,-0.5137542900545721,0.037875505368203374,55.0,0.0,2.0,32000
-0.26053842864863214,-0.5200669971050412,-0.1427273860872825,45.0,1.0,3.0,28000
-0.6097708139275555,-0.26540488389316136,-0.5039331689982539,131.0,1.0,3.0,15000
0.4379263419092146,-0.5972778928976427,-0.20292834990577774,76.0,1.0,2.0,40000
-0.493360018834581,-0.652711429715013,-0.32333027754276816,54.0,0.0,2.0,20000
-0.9007978016599917,-0.9745366558887434,-0.1566199161992429,62.0,0.0,2.0,15000
-0.1441276335556577,-0.5972778928976427,-0.1566199161992429,76.0,1.0,2.0,30000
-0.9007978016599917,0.7700874071256443,-0.38167890401300203,151.0,2.0,2.0,12300
-0.493360018834581,-0.5972778928976427,-0.756777217035934,76.0,1.0,2.0,12000
0.2633101492697529,-0.26540488389316136,-0.3069118328649967,131.0,1.0,3.0,33500
1.078185714920574,-0.5972778928976427,-0.5999985367937251,76.0,1.0,3.0,35000
-0.9007978016599917,-0.7318658292387897,-0.32333027754276816,149.0,1.0,2.0,13000
-0.1441276335556577,-0.7318658292387897,-0.32333027754276816,149.0,0.0,3.0,26000
-0.8425924041135044,-0.9745366558887434,-0.32333027754276816,62.0,0.0,2.0,14000
-1.040490755771561,-0.26540488389316136,-0.18021100506860976,131.0,1.0,2.0,12000
0.14689935417677843,-0.20838018743801567,-0.1660309849847645,3.0,1.0,2.0,35500
-0.027716838462683236,-0.26540488389316136,-0.6329352343236009,131.0,1.0,3.0,20000
-0.26053842864863214,-0.7318658292387897,-0.18787810895115387,149.0,0.0,2.0,27000
-0.493360018834581,-0.7318658292387897,-0.21496854266947674,149.0,0.0,3.0,22000
-1.017208596752966,-0.7318658292387897,-0.39228774518940823,149.0,1.0,2.0,10300
-0.9124388811692891,-0.9745366558887434,-0.5603715725780932,62.0,0.0,2.0,10000
-1.017208596752966,-0.9745366558887434,-0.37258561157608255,62.0,1.0,2.0,10500
-0.6097708139275555,-0.26540488389316136,-0.44373220517975864,131.0,1.0,3.0,16000
0.6707479320951635,-0.5200669971050412,-0.2420589763877996,45.0,1.0,2.0,43000
0.9617749198275997,-0.26540488389316136,-0.32333027754276816,131.0,1.0,3.0,45000
0.22838691074186057,-0.5972778928976427,-0.537378148897418,76.0,1.0,2.0,26000
0.37972094436272735,-0.20838018743801567,-0.01372532076193542,3.0,1.0,2.0,45000
0.4379263419092146,-0.20838018743801567,-0.05242594035953956,3.0,1.0,3.0,45000
-0.493360018834581,-0.7318658292387897,-0.16078767523283102,149.0,0.0,2.0,23000
-0.493360018834581,-0.7318658292387897,-0.16078767523283102,149.0,0.0,2.0,23000
0.4379263419092146,-0.5972778928976427,-0.3534307594520159,76.0,1.0,3.0,35000
-0.08592223600917047,-0.7318658292387897,0.11814345712619702,149.0,0.0,3.0,38000
-0.493360018834581,-0.7318658292387897,0.0017549270771061603,149.0,0.0,2.0,26000
-0.027716838462683236,-0.7318658292387897,-0.24592903834756008,149.0,0.0,3.0,30000
-0.493360018834581,-0.7318658292387897,-0.05242594035953956,149.0,0.0,2.0,25000
-0.3187438261951194,-0.5200669971050412,0.006466306854205713,45.0,1.0,2.0,30000
-0.26053842864863214,-0.7318658292387897,0.037875505368203374,149.0,0.0,2.0,32000
-0.08592223600917047,-0.5972778928976427,-0.5240001569377523,76.0,1.0,2.0,22000
0.37972094436272735,-0.20838018743801567,-0.1685277991523518,3.0,1.0,2.0,40000
-0.493360018834581,-0.7318658292387897,-0.05242594035953956,149.0,0.0,2.0,25000
-0.26053842864863214,-0.7318658292387897,-0.1427273860872825,149.0,0.0,2.0,28000
-0.493360018834581,-0.7318658292387897,-0.05242594035953956,149.0,0.0,2.0,25000
-0.493360018834581,-0.7318658292387897,0.0017549270771061603,149.0,0.0,2.0,26000
-0.8425924041135044,-0.26540488389316136,-0.47813275593318455,131.0,1.0,2.0,12000
0.9617749198275997,-0.5972778928976427,-0.7326968315085359,76.0,1.0,2.0,28000
-0.027716838462683236,-0.7318658292387897,-0.1685277991523518,149.0,0.0,3.0,32000
-0.6097708139275555,-0.26540488389316136,-0.20292834990577774,131.0,1.0,3.0,20000
-0.9007978016599917,-0.26540488389316136,-0.2816526872068868,131.0,1.0,2.0,13500
-0.027716838462683236,-0.26540488389316136,-0.6329352343236009,131.0,1.0,3.0,20000
-0.20233303110214493,-0.5972778928976427,0.3268401316969805,76.0,0.0,4.0,40000
-0.26053842864863214,-0.7318658292387897,-0.36848100040663956,149.0,0.0,3.0,23000
-0.493360018834581,-0.7318658292387897,-0.16078767523283102,149.0,0.0,2.0,23000
-0.1441276335556577,-0.7318658292387897,0.05176803548016377,149.0,0.0,3.0,35000
-0.493360018834581,-0.7318658292387897,0.11011666195039761,149.0,0.0,3.0,28000
-0.26053842864863214,-0.7318658292387897,-0.05242594035953956,149.0,0.0,2.0,30000
-0.493360018834581,-0.7318658292387897,-0.05242594035953956,149.0,0.0,2.0,25000
0.554337137002189,-0.5972778928976427,-0.26629778550419364,76.0,3.0,4.0,40000
-0.20233303110214493,-0.5200669971050412,-0.23664088964413496,45.0,1.0,2.0,27000
0.14689935417677843,-0.5200669971050412,-0.5330626676201065,45.0,1.0,2.0,25000
-0.493360018834581,-0.7318658292387897,-0.05242594035953956,149.0,0.0,2.0,25000
-0.027716838462683236,-0.7318658292387897,-0.24592903834756008,149.0,0.0,3.0,30000
0.37972094436272735,-0.5200669971050412,-0.4905169542044178,45.0,1.0,3.0,29600
0.6125425345486762,-0.26540488389316136,-0.2955452173188472,131.0,1.0,3.0,40000
0.4961317394557018,-0.5972778928976427,-0.23546941142928868,76.0,1.0,3.0,40000
1.078185714920574,-0.5972778928976427,-0.4847200954391597,76.0,1.0,3.0,40000
0.20510475172326567,-0.26540488389316136,-0.27930832275049355,131.0,1.0,3.0,33300
0.37972094436272735,-0.5200669971050412,-0.32333027754276816,45.0,1.0,2.0,35000
