size_sq_ft,propertyType,bedrooms,localityName,price,price_per_sqft,location_avg_price
1000,Independent Floor,2,East of Kailash,25000,25.0,60990.74074074074
1000,Independent Floor,2,East of Kailash,38000,38.0,60990.74074074074
1400,Independent Floor,2,Kalkaji,32000,22.857142857142858,50177.77777777778
2000,Independent Floor,3,Greater Kailash,70000,35.0,86305.23255813954
1400,Independent Floor,2,Alaknanda,25000,17.857142857142858,39807.692307692305
1800,Independent Floor,2,South Extension 2,65000,36.111111111111114,89137.93103448275
1700,Apartment,3,Vasant Kunj,45000,26.470588235294116,47388.793103448275
2000,Apartment,2,Vasant Kunj,90000,45.0,47388.793103448275
1200,Apartment,2,Vasant Kunj,32000,26.666666666666668,47388.793103448275
1150,Apartment,2,Vasant Kunj,35000,30.434782608695652,47388.793103448275
1300,Apartment,3,Saket,21000,16.153846153846153,44843.47826086957
900,Apartment,2,Saket,13000,14.444444444444445,44843.47826086957
900,Apartment,2,Saket,16000,17.77777777777778,44843.47826086957
900,Apartment,2,Saket,14000,15.555555555555555,44843.47826086957
4500,Independent House,5,Chattarpur,350000,77.77777777777777,18816.51376146789
1100,Independent Floor,2,Greater Kailash,35000,31.818181818181817,86305.23255813954
1800,Independent Floor,3,Greater kailash 1,55000,30.555555555555557,91313.30120481928
825,Independent Floor,3,Malviya Nagar,45000,54.54545454545455,38828.014184397165
1350,Independent Floor,3,East of Kailash,37000,27.40740740740741,60990.74074074074
900,Independent Floor,2,East of Kailash,17500,19.444444444444443,60990.74074074074
1600,Independent Floor,3,Alaknanda,45000,28.125,39807.692307692305
2800,Independent Floor,3,Safdarjung Enclave,130000,46.42857142857143,89144.578313253
1950,Independent Floor,3,Defence Colony,95000,48.717948717948715,126683.16831683168
1800,Independent Floor,2,East of Kailash,37000,20.555555555555557,60990.74074074074
2700,Independent Floor,2,Defence Colony,75000,27.77777777777778,126683.16831683168
1800,Independent Floor,3,Kalkaji,45000,25.0,50177.77777777778
1500,Apartment,3,Alaknanda,50000,33.333333333333336,39807.692307692305
2000,Independent Floor,3,Vasant Vihar,80000,40.0,206746.03174603175
1800,Independent Floor,2,East of Kailash,45000,25.0,60990.74074074074
1800,Independent Floor,3,East of Kailash,60000,33.333333333333336,60990.74074074074
2700,Independent Floor,3,Vasant Kunj,100000,37.03703703703704,47388.793103448275
2700,Independent Floor,3,Vasant Vihar,100000,37.03703703703704,206746.03174603175
1600,Independent Floor,2,East of Kailash,45000,28.125,60990.74074074074
1950,Independent Floor,2,Defence Colony,90000,46.15384615384615,126683.16831683168
1850,Independent Floor,3,Greater kailash 1,55000,29.72972972972973,91313.30120481928
2750,Independent Floor,3,Panchsheel Park,100000,36.36363636363637,149718.75
4500,Independent Floor,4,Panchsheel Park,160000,35.55555555555556,149718.75
895,Independent Floor,2,Chattarpur,15500,17.318435754189945,18816.51376146789
1200,Apartment,2,Vasant Kunj,34000,28.333333333333332,47388.793103448275
2200,Apartment,4,Vasant Kunj,75000,34.09090909090909,47388.793103448275
1600,Apartment,3,Vasant Kunj,48000,30.0,47388.793103448275
1500,Apartment,2,Vasant Kunj,39000,26.0,47388.793103448275
1200,Independent Floor,2,Gautam Nagar,55000,45.833333333333336,35384.61538461538
3000,Independent Floor,4,Greater Kailash,150000,50.0,86305.23255813954
2350,Independent Floor,3,East of Kailash,70000,29.78723404255319,60990.74074074074
2200,Independent Floor,3,South Extension 2,75000,34.09090909090909,89137.93103448275
1900,Independent Floor,2,Greater kailash 1,45000,23.68421052631579,91313.30120481928
1800,Independent Floor,2,other,46000,25.555555555555557,61900.17677136596
2700,Independent Floor,2,Kalkaji,45000,16.666666666666668,50177.77777777778
1800,Independent Floor,3,Malviya Nagar,50000,27.77777777777778,38828.014184397165
2700,Independent Floor,3,Saket,100000,37.03703703703704,44843.47826086957
2000,Independent Floor,3,Safdarjung Enclave,80000,40.0,89144.578313253
2200,Apartment,3,Vasant Vihar,80000,36.36363636363637,206746.03174603175
1800,Apartment,2,Vasant Kunj,65000,36.111111111111114,47388.793103448275
2200,Apartment,4,Vasant Kunj,65000,29.545454545454547,47388.793103448275
1800,Apartment,2,Vasant Kunj,38000,21.11111111111111,47388.793103448275
950,Apartment,2,Vasant Kunj,32000,33.68421052631579,47388.793103448275
2200,Independent Floor,3,Chattarpur,33000,15.0,18816.51376146789
900,Independent Floor,2,Neb Sarai,17500,19.444444444444443,36650.0
900,Independent Floor,2,Sainik Farms,20000,22.22222222222222,20976.190476190477
3600,Independent Floor,4,Sainik Farms,30000,8.333333333333334,20976.190476190477
3600,Independent Floor,3,Sainik Farms,23000,6.388888888888889,20976.190476190477
900,Independent Floor,2,Sainik Farms,15000,16.666666666666668,20976.190476190477
900,Independent Floor,2,Sainik Farms,16000,17.77777777777778,20976.190476190477
1800,Independent Floor,3,Sainik Farms,27500,15.277777777777779,20976.190476190477
1500,Independent Floor,3,Sainik Farms,30000,20.0,20976.190476190477
900,Independent Floor,2,Sainik Farms,22000,24.444444444444443,20976.190476190477
3600,Independent Floor,3,Saket,80000,22.22222222222222,44843.47826086957
900,Independent Floor,2,Sainik Farms,16000,17.77777777777778,20976.190476190477
900,Independent Floor,2,Sainik Farms,20000,22.22222222222222,20976.190476190477
900,Independent Floor,2,Sainik Farms,17000,18.88888888888889,20976.190476190477
3600,Independent Floor,3,Saket,26000,7.222222222222222,44843.47826086957
900,Independent Floor,2,Sainik Farms,17000,18.88888888888889,20976.190476190477
900,Independent Floor,2,Sainik Farms,26000,28.88888888888889,20976.190476190477
900,Independent Floor,2,Neb Sarai,15000,16.666666666666668,36650.0
3600,Independent Floor,3,Sainik Farms,25000,6.944444444444445,20976.190476190477
900,Independent Floor,2,Sainik Farms,17000,18.88888888888889,20976.190476190477
1500,Independent Floor,3,Sainik Farms,30000,20.0,20976.190476190477
900,Independent Floor,2,Saket,42000,46.666666666666664,44843.47826086957
900,Independent Floor,2,Neb Sarai,10500,11.666666666666666,36650.0
900,Independent Floor,2,Neb Sarai,12000,13.333333333333334,36650.0
900,Independent Floor,2,Neb Sarai,14000,15.555555555555555,36650.0
1200,Independent Floor,2,Sainik Farms,23000,19.166666666666668,20976.190476190477
900,Independent Floor,2,Neb Sarai,13000,14.444444444444445,36650.0
900,Independent Floor,2,Sainik Farms,17000,18.88888888888889,20976.190476190477
4000,Independent Floor,4,Saket,90000,22.5,44843.47826086957
900,Independent Floor,2,Sainik Farms,18000,20.0,20976.190476190477
3600,Independent Floor,3,Sainik Farms,22000,6.111111111111111,20976.190476190477
1500,Independent Floor,2,Saket,21000,14.0,44843.47826086957
900,Independent Floor,2,Neb Sarai,18000,20.0,36650.0
900,Independent Floor,2,Sainik Farms,16000,17.77777777777778,20976.190476190477
3600,Independent Floor,3,Sainik Farms,25000,6.944444444444445,20976.190476190477
1200,Independent Floor,2,Neb Sarai,12000,10.0,36650.0
900,Independent Floor,2,Neb Sarai,11000,12.222222222222221,36650.0
1800,Independent Floor,2,Sainik Farms,18500,10.277777777777779,20976.190476190477
1000,Independent Floor,2,Neb Sarai,12000,12.0,36650.0
600,Independent Floor,2,Chattarpur,10000,16.666666666666668,18816.51376146789
900,Apartment,2,Chattarpur,18000,20.0,18816.51376146789
1100,Independent Floor,2,Chattarpur,18000,16.363636363636363,18816.51376146789
1800,Independent Floor,3,Chattarpur,25000,13.88888888888889,18816.51376146789
900,Independent Floor,2,Chattarpur,10000,11.11111111111111,18816.51376146789
1500,Independent Floor,3,Chattarpur,20000,13.333333333333334,18816.51376146789
1000,Independent Floor,2,Chattarpur,16500,16.5,18816.51376146789
1000,Independent Floor,2,Chattarpur,15500,15.5,18816.51376146789
1600,Independent Floor,3,Chattarpur,19000,11.875,18816.51376146789
2200,Independent Floor,3,Chattarpur,25000,11.363636363636363,18816.51376146789
900,Independent Floor,3,Chattarpur,13000,14.444444444444445,18816.51376146789
900,Independent Floor,2,Chattarpur,12000,13.333333333333334,18816.51376146789
850,Independent Floor,2,Chattarpur,12000,14.117647058823529,18816.51376146789
1300,Independent Floor,3,Chattarpur,18000,13.846153846153847,18816.51376146789
1400,Independent Floor,3,Chattarpur,22000,15.714285714285714,18816.51376146789
900,Independent Floor,2,Chattarpur,10500,11.666666666666666,18816.51376146789
2000,Independent Floor,3,Chattarpur,23000,11.5,18816.51376146789
1000,Independent Floor,2,Chattarpur,16000,16.0,18816.51376146789
900,Independent Floor,2,Chattarpur,17000,18.88888888888889,18816.51376146789
1300,Independent Floor,3,Chattarpur,25000,19.23076923076923,18816.51376146789
1300,Independent Floor,3,Chattarpur,28000,21.53846153846154,18816.51376146789
1100,Independent Floor,3,Chattarpur,21000,19.09090909090909,18816.51376146789
2200,Independent Floor,4,Chattarpur,30000,13.636363636363637,18816.51376146789
1000,Independent Floor,2,Chattarpur,10500,10.5,18816.51376146789
850,Independent Floor,2,Chattarpur,13000,15.294117647058824,18816.51376146789
1000,Independent Floor,2,Chattarpur,16000,16.0,18816.51376146789
1600,Independent Floor,3,Chattarpur,22000,13.75,18816.51376146789
1800,Independent Floor,3,Chattarpur,28000,15.555555555555555,18816.51376146789
1000,Independent Floor,2,Chattarpur,16000,16.0,18816.51376146789
1600,Independent Floor,3,Chattarpur,21000,13.125,18816.51376146789
4500,Independent Floor,4,Hauz Khas,200000,44.44444444444444,111860.46511627907
2000,Independent Floor,3,Greater kailash 1,70000,35.0,91313.30120481928
5400,Independent Floor,4,Vasant Vihar,330000,61.111111111111114,206746.03174603175
4500,Independent Floor,4,other,325000,72.22222222222223,61900.17677136596
3600,Independent Floor,4,Anand Niketan,170000,47.22222222222222,160416.66666666666
2000,Independent Floor,4,Hauz Khas,130000,65.0,111860.46511627907
2700,Independent Floor,4,Green Park,130000,48.148148148148145,94000.0
2000,Independent Floor,4,Safdarjung Enclave,120000,60.0,89144.578313253
3600,Independent Floor,3,other,175000,48.611111111111114,61900.17677136596
2000,Independent Floor,3,Anand Niketan,80000,40.0,160416.66666666666
2700,Independent Floor,4,Greater kailash 1,110000,40.74074074074074,91313.30120481928
3600,Independent Floor,4,Anand Niketan,155000,43.05555555555556,160416.66666666666
2700,Independent Floor,3,Anand Niketan,130000,48.148148148148145,160416.66666666666
5400,Independent Floor,4,Hauz Khas,150000,27.77777777777778,111860.46511627907
2700,Independent Floor,3,Safdarjung Enclave,125000,46.2962962962963,89144.578313253
2900,Independent Floor,3,Defence Colony,200000,68.96551724137932,126683.16831683168
2200,Independent Floor,3,Malviya Nagar,80000,36.36363636363637,38828.014184397165
2700,Independent Floor,3,Gulmohar park,120000,44.44444444444444,111250.0
4680,Independent Floor,4,Vasant Vihar,250000,53.41880341880342,206746.03174603175
1125,Independent Floor,2,Safdarjung Enclave,45000,40.0,89144.578313253
1125,Independent Floor,2,Saket,42000,37.333333333333336,44843.47826086957
1350,Independent Floor,2,Saket,48000,35.55555555555556,44843.47826086957
2200,Apartment,4,Vasant Kunj,65000,29.545454545454547,47388.793103448275
2000,Apartment,3,Vasant Kunj,65000,32.5,47388.793103448275
2000,Apartment,3,Vasant Kunj,55000,27.5,47388.793103448275
600,Independent Floor,2,Gautam Nagar,26000,43.333333333333336,35384.61538461538
900,Independent Floor,2,Neb Sarai,17000,18.88888888888889,36650.0
1800,Independent Floor,3,Sainik Farms,35000,19.444444444444443,20976.190476190477
800,Independent Floor,2,Malviya Nagar,60000,75.0,38828.014184397165
900,Independent Floor,2,Chattarpur,15000,16.666666666666668,18816.51376146789
2500,Independent Floor,4,Hauz Khas,200000,80.0,111860.46511627907
4000,Independent Floor,4,Vasant Vihar,450000,112.5,206746.03174603175
900,Independent Floor,2,Gautam Nagar,25000,27.77777777777778,35384.61538461538
900,Independent Floor,2,Gautam Nagar,30000,33.333333333333336,35384.61538461538
1800,Independent Floor,3,Safdarjung Enclave,80000,44.44444444444444,89144.578313253
1800,Independent Floor,2,Jangpura,60000,33.333333333333336,61888.88888888889
2000,Independent Floor,3,Green Park,80000,40.0,94000.0
2700,Independent Floor,3,Green Park,100000,37.03703703703704,94000.0
1150,Independent Floor,2,Chattarpur,16000,13.91304347826087,18816.51376146789
850,Independent Floor,2,Chattarpur,16000,18.823529411764707,18816.51376146789
1100,Independent Floor,2,Chattarpur,15000,13.636363636363637,18816.51376146789
900,Independent Floor,2,Malviya Nagar,30000,33.333333333333336,38828.014184397165
1125,Independent Floor,2,Malviya Nagar,31000,27.555555555555557,38828.014184397165
1125,Apartment,3,Malviya Nagar,45000,40.0,38828.014184397165
1125,Independent Floor,2,Malviya Nagar,35000,31.11111111111111,38828.014184397165
900,Independent Floor,2,Malviya Nagar,26000,28.88888888888889,38828.014184397165
900,Apartment,2,Malviya Nagar,28000,31.11111111111111,38828.014184397165
900,Independent Floor,2,Malviya Nagar,28000,31.11111111111111,38828.014184397165
2200,Apartment,3,Vasant Kunj,65000,29.545454545454547,47388.793103448275
1100,Independent Floor,2,Gautam Nagar,25000,22.727272727272727,35384.61538461538
1900,Independent Floor,3,Sainik Farms,35000,18.42105263157895,20976.190476190477
900,Independent Floor,2,Neb Sarai,16000,17.77777777777778,36650.0
900,Independent Floor,2,Sainik Farms,20000,22.22222222222222,20976.190476190477
3000,Independent Floor,3,Sainik Farms,27000,9.0,20976.190476190477
900,Independent Floor,2,Sainik Farms,20000,22.22222222222222,20976.190476190477
800,Independent Floor,2,Neb Sarai,20000,25.0,36650.0
1130,Independent Floor,2,Sainik Farms,20000,17.699115044247787,20976.190476190477
900,Independent Floor,2,Sainik Farms,18000,20.0,20976.190476190477
900,Independent Floor,2,Sainik Farms,25000,27.77777777777778,20976.190476190477
900,Independent Floor,2,Sainik Farms,19000,21.11111111111111,20976.190476190477
900,Independent Floor,2,Neb Sarai,14000,15.555555555555555,36650.0
1400,Independent Floor,3,Sainik Farms,24000,17.142857142857142,20976.190476190477
900,Independent Floor,2,Sainik Farms,18000,20.0,20976.190476190477
1200,Independent Floor,2,Neb Sarai,13000,10.833333333333334,36650.0
900,Independent Floor,2,Chattarpur,14000,15.555555555555555,18816.51376146789
1100,Independent Floor,2,Chattarpur,16500,15.0,18816.51376146789
1500,Apartment,3,Vasant Kunj,42000,28.0,47388.793103448275
1000,Apartment,2,Vasant Kunj,38000,38.0,47388.793103448275
1050,Apartment,2,Malviya Nagar,26000,24.761904761904763,38828.014184397165
1400,Apartment,3,Vasant Kunj,35000,25.0,47388.793103448275
1000,Apartment,2,Vasant Kunj,34000,34.0,47388.793103448275
1000,Independent House,2,other,18000,18.0,61900.17677136596
1000,Independent House,3,Chattarpur,20000,20.0,18816.51376146789
1500,Independent House,3,Chattarpur,20000,13.333333333333334,18816.51376146789
800,Independent House,2,Chattarpur,15000,18.75,18816.51376146789
900,Apartment,2,Chattarpur,14000,15.555555555555555,18816.51376146789
900,Apartment,2,Maidan Garhi,11000,12.222222222222221,15835.714285714286
1600,Independent Floor,3,Chattarpur,19000,11.875,18816.51376146789
2200,Independent House,3,Chattarpur,25000,11.363636363636363,18816.51376146789
900,Apartment,2,Vasant Kunj,36000,40.0,47388.793103448275
500,Independent Floor,2,Gautam Nagar,24000,48.0,35384.61538461538
1250,Independent Floor,2,Malviya Nagar,24000,19.2,38828.014184397165
2700,Independent Floor,4,Malviya Nagar,100000,37.03703703703704,38828.014184397165
900,Independent Floor,2,Malviya Nagar,29000,32.22222222222222,38828.014184397165
1800,Independent Floor,3,Malviya Nagar,65000,36.111111111111114,38828.014184397165
1200,Independent Floor,2,Malviya Nagar,32000,26.666666666666668,38828.014184397165
1400,Independent Floor,3,Saket,65000,46.42857142857143,44843.47826086957
1250,Independent Floor,3,Malviya Nagar,35000,28.0,38828.014184397165
900,Independent Floor,2,Malviya Nagar,45000,50.0,38828.014184397165
1800,Independent Floor,3,Malviya Nagar,45000,25.0,38828.014184397165
900,Independent Floor,2,Malviya Nagar,28000,31.11111111111111,38828.014184397165
1450,Independent Floor,3,Malviya Nagar,40000,27.586206896551722,38828.014184397165
1150,Independent Floor,2,Malviya Nagar,32000,27.82608695652174,38828.014184397165
1150,Independent Floor,2,Malviya Nagar,30000,26.08695652173913,38828.014184397165
4500,Independent Floor,4,Panchsheel Park,150000,33.333333333333336,149718.75
900,Independent Floor,2,Malviya Nagar,35000,38.888888888888886,38828.014184397165
900,Independent Floor,2,Malviya Nagar,34000,37.77777777777778,38828.014184397165
900,Independent Floor,2,Malviya Nagar,36000,40.0,38828.014184397165
1800,Independent Floor,3,Malviya Nagar,58000,32.22222222222222,38828.014184397165
900,Independent Floor,2,Malviya Nagar,27500,30.555555555555557,38828.014184397165
1150,Independent Floor,3,Malviya Nagar,35000,30.434782608695652,38828.014184397165
1800,Independent Floor,3,Malviya Nagar,56000,31.11111111111111,38828.014184397165
1250,Independent Floor,2,Malviya Nagar,30000,24.0,38828.014184397165
1250,Independent Floor,3,Malviya Nagar,31000,24.8,38828.014184397165
1250,Independent Floor,2,Malviya Nagar,35000,28.0,38828.014184397165
700,Independent Floor,2,Malviya Nagar,23000,32.857142857142854,38828.014184397165
1250,Independent Floor,3,Malviya Nagar,34500,27.6,38828.014184397165
1800,Apartment,3,Lajpat Nagar,70000,38.888888888888886,36701.53846153846
1500,Apartment,2,Lajpat Nagar,36000,24.0,36701.53846153846
1800,Apartment,3,Lajpat Nagar,60000,33.333333333333336,36701.53846153846
1450,Independent Floor,3,Kalkaji,60000,41.37931034482759,50177.77777777778
900,Independent Floor,2,Malviya Nagar,27000,30.0,38828.014184397165
1000,Independent Floor,2,Gautam Nagar,20000,20.0,35384.61538461538
900,Independent Floor,2,Gautam Nagar,25000,27.77777777777778,35384.61538461538
900,Independent Floor,2,Lajpat Nagar,39000,43.333333333333336,36701.53846153846
1485,Independent Floor,3,Chattarpur,22000,14.814814814814815,18816.51376146789
890,Independent Floor,2,Chattarpur,15500,17.415730337078653,18816.51376146789
895,Independent Floor,2,Chattarpur,15000,16.75977653631285,18816.51376146789
1485,Independent Floor,3,Chattarpur,23000,15.488215488215488,18816.51376146789
1645,Independent Floor,3,Chattarpur,24000,14.589665653495441,18816.51376146789
1485,Independent Floor,3,Chattarpur,21000,14.141414141414142,18816.51376146789
960,Independent Floor,2,Chattarpur,16000,16.666666666666668,18816.51376146789
915,Independent Floor,2,Chattarpur,16000,17.48633879781421,18816.51376146789
880,Independent Floor,2,Chattarpur,15000,17.045454545454547,18816.51376146789
1585,Independent Floor,3,Chattarpur,23000,14.511041009463723,18816.51376146789
1480,Independent Floor,3,Chattarpur,23000,15.54054054054054,18816.51376146789
880,Independent Floor,2,Chattarpur,15500,17.613636363636363,18816.51376146789
800,Apartment,2,Chattarpur,15000,18.75,18816.51376146789
650,Independent House,2,Chattarpur,14000,21.53846153846154,18816.51376146789
800,Independent House,2,Chattarpur,16000,20.0,18816.51376146789
1300,Independent House,3,Chattarpur,24000,18.46153846153846,18816.51376146789
800,Independent House,2,Chattarpur,17000,21.25,18816.51376146789
900,Independent Floor,2,Chattarpur,10500,11.666666666666666,18816.51376146789
1800,Apartment,2,Greater kailash 1,60000,33.333333333333336,91313.30120481928
900,Independent Floor,2,Lajpat Nagar II,42000,46.666666666666664,36267.857142857145
1800,Independent Floor,3,Defence Colony,130000,72.22222222222223,126683.16831683168
1800,Independent Floor,3,Greater kailash 1,90000,50.0,91313.30120481928
3000,Apartment,3,Defence Colony,175000,58.333333333333336,126683.16831683168
3000,Apartment,3,Defence Colony,150000,50.0,126683.16831683168
2000,Apartment,3,Greater kailash 1,80000,40.0,91313.30120481928
2700,Apartment,3,Greater kailash 1,95000,35.18518518518518,91313.30120481928
2000,Apartment,4,Defence Colony,100000,50.0,126683.16831683168
1800,Apartment,3,Defence Colony,100000,55.55555555555556,126683.16831683168
2000,Apartment,3,Defence Colony,85000,42.5,126683.16831683168
1500,Apartment,2,Greater Kailash,70000,46.666666666666664,86305.23255813954
900,Independent Floor,2,Lajpat Nagar,32000,35.55555555555556,36701.53846153846
1800,Apartment,3,Lajpat Nagar,48000,26.666666666666668,36701.53846153846
3000,Apartment,3,Greater Kailash,120000,40.0,86305.23255813954
3000,Independent Floor,3,Defence Colony,130000,43.333333333333336,126683.16831683168
3000,Apartment,3,Defence Colony,120000,40.0,126683.16831683168
900,Independent Floor,2,Lajpat Nagar II,40000,44.44444444444444,36267.857142857145
700,Independent House,2,Chattarpur,13000,18.571428571428573,18816.51376146789
1300,Independent Floor,3,Chattarpur,17500,13.461538461538462,18816.51376146789
1550,Independent Floor,3,Chattarpur,20000,12.903225806451612,18816.51376146789
1300,Apartment,3,Chattarpur,17000,13.076923076923077,18816.51376146789
850,Apartment,2,Chattarpur,13500,15.882352941176471,18816.51376146789
1350,Apartment,3,Chattarpur,22000,16.296296296296298,18816.51376146789
750,Apartment,2,Chattarpur,14000,18.666666666666668,18816.51376146789
1200,Independent House,2,Chattarpur,25000,20.833333333333332,18816.51376146789
750,Independent House,2,Chattarpur,15000,20.0,18816.51376146789
1300,Independent House,2,Chattarpur,27000,20.76923076923077,18816.51376146789
800,Independent House,3,Chattarpur,19000,23.75,18816.51376146789
1250,Apartment,3,Chattarpur,22000,17.6,18816.51376146789
1100,Independent House,2,Chattarpur,15000,13.636363636363637,18816.51376146789
700,Independent House,2,Chattarpur,14500,20.714285714285715,18816.51376146789
800,Apartment,2,Chattarpur,13000,16.25,18816.51376146789
900,Independent House,2,Chattarpur,24000,26.666666666666668,18816.51376146789
1300,Independent House,4,Chattarpur,25000,19.23076923076923,18816.51376146789
750,Independent House,2,Chattarpur,16000,21.333333333333332,18816.51376146789
1260,Apartment,3,Chattarpur,20000,15.873015873015873,18816.51376146789
900,Apartment,2,Chattarpur,11500,12.777777777777779,18816.51376146789
1200,Independent House,3,Chattarpur,25000,20.833333333333332,18816.51376146789
900,Independent House,3,Chattarpur,20000,22.22222222222222,18816.51376146789
800,Independent House,2,Chattarpur,16000,20.0,18816.51376146789
1100,Independent Floor,3,Chattarpur,15000,13.636363636363637,18816.51376146789
900,Independent Floor,2,Chattarpur,13000,14.444444444444445,18816.51376146789
1200,Apartment,2,Chattarpur,17000,14.166666666666666,18816.51376146789
1600,Independent Floor,3,Chattarpur,25000,15.625,18816.51376146789
1600,Independent Floor,3,Greater kailash 1,70000,43.75,91313.30120481928
900,Independent Floor,2,Malviya Nagar,34000,37.77777777777778,38828.014184397165
900,Independent Floor,2,Malviya Nagar,35000,38.888888888888886,38828.014184397165
1200,Independent Floor,2,Saket,50000,41.666666666666664,44843.47826086957
1800,Independent Floor,3,Malviya Nagar,42000,23.333333333333332,38828.014184397165
2700,Independent Floor,3,other,85000,31.48148148148148,61900.17677136596
900,Independent Floor,2,Malviya Nagar,25000,27.77777777777778,38828.014184397165
1500,Independent Floor,2,Malviya Nagar,36000,24.0,38828.014184397165
900,Independent Floor,2,Malviya Nagar,30000,33.333333333333336,38828.014184397165
1700,Independent Floor,3,Sarvpriya Vihar,60000,35.294117647058826,66200.0
2700,Independent Floor,4,Saket,100000,37.03703703703704,44843.47826086957
900,Independent Floor,2,Malviya Nagar,27000,30.0,38828.014184397165
1800,Independent Floor,3,Malviya Nagar,55000,30.555555555555557,38828.014184397165
1800,Independent Floor,3,Malviya Nagar,60000,33.333333333333336,38828.014184397165
1800,Independent Floor,3,Malviya Nagar,45000,25.0,38828.014184397165
1800,Independent Floor,3,Malviya Nagar,70000,38.888888888888886,38828.014184397165
1800,Independent Floor,3,Malviya Nagar,60000,33.333333333333336,38828.014184397165
1800,Independent Floor,3,Malviya Nagar,65000,36.111111111111114,38828.014184397165
1800,Independent Floor,3,Malviya Nagar,63000,35.0,38828.014184397165
1800,Independent Floor,3,Malviya Nagar,65000,36.111111111111114,38828.014184397165
1800,Independent Floor,3,Malviya Nagar,52000,28.88888888888889,38828.014184397165
1800,Independent Floor,3,Saket,75000,41.666666666666664,44843.47826086957
1800,Independent Floor,3,Saket,60000,33.333333333333336,44843.47826086957
1800,Independent Floor,3,Saket,64000,35.55555555555556,44843.47826086957
2000,Independent Floor,3,Safdarjung Enclave,100000,50.0,89144.578313253
2300,Independent Floor,3,Safdarjung Enclave,95000,41.30434782608695,89144.578313253
2500,Independent Floor,3,Panchsheel Park,80000,32.0,149718.75
1125,Independent Floor,2,Malviya Nagar,37000,32.888888888888886,38828.014184397165
900,Independent Floor,2,Malviya Nagar,25000,27.77777777777778,38828.014184397165
1300,Independent Floor,2,Malviya Nagar,28000,21.53846153846154,38828.014184397165
650,Independent Floor,2,Malviya Nagar,25000,38.46153846153846,38828.014184397165
900,Independent Floor,2,Malviya Nagar,27000,30.0,38828.014184397165
1125,Independent Floor,2,Malviya Nagar,25000,22.22222222222222,38828.014184397165
900,Independent Floor,2,Lajpat Nagar,41000,45.55555555555556,36701.53846153846
900,Independent Floor,2,Lajpat Nagar,45000,50.0,36701.53846153846
900,Apartment,2,Lajpat Nagar,30000,33.333333333333336,36701.53846153846
2100,Apartment,3,Greater kailash 1,53000,25.238095238095237,91313.30120481928
1200,Apartment,2,East of Kailash,45000,37.5,60990.74074074074
1600,Independent Floor,3,Chattarpur,21000,13.125,18816.51376146789
600,Independent Floor,2,Chattarpur,11000,18.333333333333332,18816.51376146789
900,Independent Floor,2,Chattarpur,10500,11.666666666666666,18816.51376146789
650,Independent House,2,Chattarpur,14000,21.53846153846154,18816.51376146789
1100,Independent Floor,3,other,23000,20.90909090909091,61900.17677136596
750,Independent Floor,2,other,16000,21.333333333333332,61900.17677136596
800,Independent House,2,Chattarpur,15000,18.75,18816.51376146789
1000,Independent House,2,Chattarpur,19000,19.0,18816.51376146789
1300,Apartment,3,Chattarpur,19000,14.615384615384615,18816.51376146789
700,Independent House,2,Chattarpur,15000,21.428571428571427,18816.51376146789
900,Apartment,2,Chattarpur,17000,18.88888888888889,18816.51376146789
1100,Independent House,2,Chattarpur,25000,22.727272727272727,18816.51376146789
700,Independent House,2,Chattarpur,13000,18.571428571428573,18816.51376146789
1000,Independent House,3,Chattarpur,21000,21.0,18816.51376146789
800,Independent House,2,Chattarpur,21000,26.25,18816.51376146789
800,Independent House,2,Chattarpur,13000,16.25,18816.51376146789
800,Independent House,2,Chattarpur,14000,17.5,18816.51376146789
800,Independent House,2,Chattarpur,16000,20.0,18816.51376146789
800,Apartment,2,Chattarpur,15000,18.75,18816.51376146789
500,Independent House,2,Chattarpur,9500,19.0,18816.51376146789
700,Independent House,2,Chattarpur,15000,21.428571428571427,18816.51376146789
750,Independent House,2,Chattarpur,16000,21.333333333333332,18816.51376146789
850,Independent House,2,Chattarpur,15000,17.647058823529413,18816.51376146789
750,Independent House,2,Maidan Garhi,16000,21.333333333333332,15835.714285714286
750,Independent House,2,Chattarpur,15000,20.0,18816.51376146789
650,Independent House,2,Chattarpur,14000,21.53846153846154,18816.51376146789
800,Independent House,3,Maidan Garhi,17000,21.25,15835.714285714286
900,Independent House,3,Chattarpur,18000,20.0,18816.51376146789
1100,Independent Floor,3,Chattarpur,16000,14.545454545454545,18816.51376146789
900,Independent House,3,Chattarpur,20000,22.22222222222222,18816.51376146789
800,Independent House,2,Chattarpur,15500,19.375,18816.51376146789
900,Independent House,3,Chattarpur,18000,20.0,18816.51376146789
750,Independent House,2,Chattarpur,16000,21.333333333333332,18816.51376146789
900,Independent House,2,Maidan Garhi,17000,18.88888888888889,15835.714285714286
1100,Independent House,3,Chattarpur,28000,25.454545454545453,18816.51376146789
700,Independent House,2,Chattarpur,13500,19.285714285714285,18816.51376146789
800,Independent House,2,Chattarpur,15500,19.375,18816.51376146789
900,Independent House,2,Chattarpur,15000,16.666666666666668,18816.51376146789
750,Apartment,2,Maidan Garhi,15000,20.0,15835.714285714286
1250,Apartment,3,Chattarpur,20000,16.0,18816.51376146789
900,Independent House,2,Chattarpur,22000,24.444444444444443,18816.51376146789
1000,Independent House,3,Chattarpur,20000,20.0,18816.51376146789
