size_sq_ft,propertyType,bedrooms,localityName,price,price_per_sqft,location_avg_price
1950,Independent Floor,3,Swasthya Vihar,40000,20.512820512820515,32710.714285714286
1850,Independent Floor,3,Preet Vihar,40000,21.62162162162162,23355.555555555555
2350,Independent Floor,3,Preet Vihar,40000,17.02127659574468,23355.555555555555
1600,Independent Floor,3,Swasthya Vihar,33300,20.8125,32710.714285714286
1750,Independent Floor,2,Krishna Nagar,35000,20.0,25532.05128205128
2450,Independent Floor,2,Swasthya Vihar,43600,17.79591836734694,32710.714285714286
1850,Independent Floor,2,Krishna Nagar,32000,17.2972972972973,25532.05128205128
1050,Apartment,2,mayur vihar phase 1,26000,24.761904761904763,19561.660079051384
1050,Apartment,2,mayur vihar phase 1,25000,23.80952380952381,19561.660079051384
1200,Apartment,3,mayur vihar phase 1,30000,25.0,19561.660079051384
1100,Apartment,2,mayur vihar phase 1,25000,22.727272727272727,19561.660079051384
1450,Apartment,3,mayur vihar phase 1,50000,34.48275862068966,19561.660079051384
800,Apartment,2,mayur vihar phase 1,24500,30.625,19561.660079051384
1450,Apartment,3,mayur vihar phase 1,30000,20.689655172413794,19561.660079051384
1050,Apartment,2,mayur vihar phase 1,30000,28.571428571428573,19561.660079051384
2250,Independent Floor,3,Swasthya Vihar,50000,22.22222222222222,32710.714285714286
1350,Independent Floor,2,Swasthya Vihar,25000,18.51851851851852,32710.714285714286
1800,Independent Floor,2,Swasthya Vihar,26500,14.722222222222221,32710.714285714286
2350,Independent Floor,2,Krishna Nagar,28500,12.127659574468085,25532.05128205128
1750,Independent House,3,Preet Vihar,45000,25.714285714285715,23355.555555555555
1800,Independent Floor,3,Preet Vihar,40000,22.22222222222222,23355.555555555555
2250,Independent Floor,2,Preet Vihar,60000,26.666666666666668,23355.555555555555
1550,Independent Floor,2,Preet Vihar,35000,22.580645161290324,23355.555555555555
1350,Independent Floor,2,Preet Vihar,30000,22.22222222222222,23355.555555555555
1800,Independent Floor,2,Preet Vihar,39500,21.944444444444443,23355.555555555555
1400,Independent Floor,3,Krishna Nagar,32000,22.857142857142858,25532.05128205128
1800,Independent Floor,2,Swasthya Vihar,30000,16.666666666666668,32710.714285714286
1150,Independent Floor,3,Krishna Nagar,30000,26.08695652173913,25532.05128205128
1500,Independent Floor,3,Swasthya Vihar,35000,23.333333333333332,32710.714285714286
1750,Independent Floor,3,Krishna Nagar,35500,20.285714285714285,25532.05128205128
1950,Independent Floor,3,Preet Vihar,35000,17.94871794871795,23355.555555555555
1650,Independent Floor,2,Preet Vihar,25000,15.151515151515152,23355.555555555555
1800,Independent Floor,3,Swasthya Vihar,42500,23.61111111111111,32710.714285714286
1750,Independent Floor,3,Preet Vihar,40000,22.857142857142858,23355.555555555555
1550,Independent Floor,3,Swasthya Vihar,33000,21.29032258064516,32710.714285714286
1750,Independent Floor,3,Krishna Nagar,30000,17.142857142857142,25532.05128205128
900,Independent Floor,3,New Ashok Nagar,16000,17.77777777777778,12721.019108280254
650,Independent Floor,2,Swasthya Vihar,22000,33.84615384615385,32710.714285714286
750,Independent Floor,2,Swasthya Vihar,18000,24.0,32710.714285714286
750,Apartment,2,mayur vihar phase 1,22000,29.333333333333332,19561.660079051384
600,Independent Floor,2,mayur vihar phase 1,12000,20.0,19561.660079051384
600,Independent Floor,2,mayur vihar phase 1,9000,15.0,19561.660079051384
600,Independent Floor,2,mayur vihar phase 1,10000,16.666666666666668,19561.660079051384
800,Apartment,2,mayur vihar phase 1,22000,27.5,19561.660079051384
650,Independent Floor,2,mayur vihar phase 1,12000,18.46153846153846,19561.660079051384
1000,Independent Floor,3,mayur vihar phase 1,19500,19.5,19561.660079051384
650,Independent Floor,2,mayur vihar phase 1,13500,20.76923076923077,19561.660079051384
650,Independent Floor,2,mayur vihar phase 1,10000,15.384615384615385,19561.660079051384
1000,Independent Floor,3,mayur vihar phase 1,20000,20.0,19561.660079051384
550,Independent Floor,2,mayur vihar phase 1,10500,19.09090909090909,19561.660079051384
700,Independent Floor,2,mayur vihar phase 1,17000,24.285714285714285,19561.660079051384
500,Independent Floor,2,mayur vihar phase 1,11000,22.0,19561.660079051384
700,Independent Floor,2,mayur vihar phase 1,12000,17.142857142857142,19561.660079051384
620,Independent Floor,2,mayur vihar phase 1,13000,20.967741935483872,19561.660079051384
